,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
0,1,,2900.122260586704,1,9,35,45,9,0,1,25000000,83,1.0,55.776006,37.646274,3
1,1,1.0,4126.20425113886,1,6,15,100,7,0,1,133846440,147,1.0,55.723699,37.583697,4
2,0,0.0,2829.209743417204,1,1,6.5,30,6,0,0,10850000,42,1.0,55.731075,37.629816,2
3,1,1.0,3716.069853090493,1,1,–,1,9,0,0,1730000,194.2,1.0,55.722142,37.618569,5
4,0,,4079.27936420631,1,3,–,22.7,6,1,,4403057,22.7,1.0,55.775753,37.671938,1
5,0,,4079.27936420631,1,2,–,17.3,6,1,,4585315,17.3,1.0,55.775753,37.671938,1
6,0,1.0,4079.27936420631,1,2,–,10,6,1,5,4814581,17.3,1.0,55.775753,37.671938,1
7,0,1.0,4124.346867407559,1,2,–,17.3,5,0,6,4814581,17.3,1.0,55.776294,37.672163,1
8,0,,4491.400014214087,1,1,7,20,4,0,9,5300000,32,1.0,55.730101,37.673214,1
9,0,1.0,4079.27936420631,1,5,–,10,6,1,5,5377566,18.3,1.0,55.775753,37.671938,1
10,0,1.0,4124.346867407559,1,2,–,23.7,5,0,6,5496232,23.7,1.0,55.776294,37.672163,1
11,0,,4079.27936420631,1,2,–,23.7,6,1,,5496232,23.7,1.0,55.775753,37.671938,1
12,1,,5009.252172431727,1,1,9.6,20,10,0,1,5550000,37.4,1.0,55.775793,37.689042,1
13,1,1.0,5946.396384580566,1,3,6,16,,0,5,5999000,30,,55.756356,37.522477,1
14,0,,5918.272658376745,1,1,10,20,13,0,1,6000000,35,1.0,55.753387,37.522998,1
15,1,0.0,4221.847929077985,1,1,9.6,20.1,10,0,2,6000000,35.1,0.0,55.737988,37.677301,1
16,1,1.0,4036.161279049734,1,2,8,21,12,0,5,6100000,34,1.0,55.770613,37.558796,1
17,1,0.0,4221.847929077985,1,1,10,20,10,0,2,6100000,36,1.0,55.737988,37.677301,1
18,0,1.0,4079.27936420631,1,4,–,15,6,1,4,6258687,25.5,1.0,55.775753,37.671938,1
19,0,,4079.27936420631,1,4,–,25.5,6,1,,6258687,25.5,1.0,55.775753,37.671938,1
20,0,,4079.27936420631,1,2,–,32.6,6,1,,6285999,32.6,1.0,55.775753,37.671938,1
21,0,1.0,4079.27936420631,1,3,–,17,6,1,4,6325576,30,1.0,55.775753,37.671938,1
22,0,1.0,4101.4864724919,1,3,–,29.5,5,0,6,6325576,29.5,1.0,55.775824,37.67228,1
23,0,,4079.27936420631,1,3,–,22.3,6,1,,6355668,22.3,1.0,55.775753,37.671938,1
24,0,1.0,4079.27936420631,1,3,–,18,6,1,4,6437035,33.5,1.0,55.775753,37.671938,1
25,0,1.0,4079.27936420631,1,4,–,16,6,1,4,6449418,28.5,1.0,55.775753,37.671938,1
26,0,,4079.27936420631,1,4,–,29.5,6,1,,6449418,29.5,1.0,55.775753,37.671938,1
27,0,,4079.27936420631,1,3,–,28.2,6,1,,6467402,28.2,1.0,55.775753,37.671938,1
28,0,1.0,3065.5629435769733,1,3,–,–,7,0,7,102615604,179,1.0,55.734709,37.585449,4
29,0,,3898.576660067124,1,5,–,–,8,0,1,129000000,138.4,1.0,55.730426,37.574067,3
30,0,1.0,3995.460157622667,1,8,22.3,50,10,0,2,45900000,102,1.0,55.76057,37.680733,4
31,1,1.0,3716.069853090493,1,1,–,1,9,0,0,1730000,194.2,1.0,55.722142,37.618569,5
32,0,,4079.27936420631,1,3,–,22.7,6,1,,4403057,22.7,1.0,55.775753,37.671938,1
33,0,,4079.27936420631,1,2,–,17.3,6,1,,4585315,17.3,1.0,55.775753,37.671938,1
34,0,1.0,4079.27936420631,1,2,–,10,6,1,5,4814581,17.3,1.0,55.775753,37.671938,1
35,0,1.0,4124.346867407559,1,2,–,17.3,5,0,6,4814581,17.3,1.0,55.776294,37.672163,1
36,0,,4491.400014214087,1,1,7,20,4,0,9,5300000,32,1.0,55.730101,37.673214,1
37,0,1.0,4079.27936420631,1,5,–,10,6,1,5,5377566,18.3,1.0,55.775753,37.671938,1
38,0,1.0,4124.346867407559,1,2,–,23.7,5,0,6,5496232,23.7,1.0,55.776294,37.672163,1
39,0,,4079.27936420631,1,2,–,23.7,6,1,,5496232,23.7,1.0,55.775753,37.671938,1
40,1,,5009.252172431727,1,1,9.6,20,10,0,1,5550000,37.4,1.0,55.775793,37.689042,1
41,1,1.0,5946.396384580566,1,3,6,16,,0,5,5999000,30,,55.756356,37.522477,1
42,0,,5918.272658376745,1,1,10,20,13,0,1,6000000,35,1.0,55.753387,37.522998,1
43,1,0.0,4221.847929077985,1,1,9.6,20.1,10,0,2,6000000,35.1,0.0,55.737988,37.677301,1
44,1,1.0,4036.161279049734,1,2,8,21,12,0,5,6100000,34,1.0,55.770613,37.558796,1
45,1,0.0,4221.847929077985,1,1,10,20,10,0,2,6100000,36,1.0,55.737988,37.677301,1
46,0,1.0,4079.27936420631,1,4,–,15,6,1,4,6258687,25.5,1.0,55.775753,37.671938,1
47,0,,4079.27936420631,1,4,–,25.5,6,1,,6258687,25.5,1.0,55.775753,37.671938,1
48,0,,4079.27936420631,1,2,–,32.6,6,1,,6285999,32.6,1.0,55.775753,37.671938,1
49,0,1.0,4079.27936420631,1,3,–,17,6,1,4,6325576,30,1.0,55.775753,37.671938,1
50,0,1.0,4101.4864724919,1,3,–,29.5,5,0,6,6325576,29.5,1.0,55.775824,37.67228,1
51,0,,4079.27936420631,1,3,–,22.3,6,1,,6355668,22.3,1.0,55.775753,37.671938,1
52,0,1.0,4079.27936420631,1,3,–,18,6,1,4,6437035,33.5,1.0,55.775753,37.671938,1
53,0,1.0,4079.27936420631,1,4,–,16,6,1,4,6449418,28.5,1.0,55.775753,37.671938,1
54,0,,4079.27936420631,1,4,–,29.5,6,1,,6449418,29.5,1.0,55.775753,37.671938,1
55,0,,4079.27936420631,1,3,–,28.2,6,1,,6467402,28.2,1.0,55.775753,37.671938,1
56,0,1.0,2360.696539441641,1,6,5.7,42.9,3,1,1,38213175,65,1.0,55.770973,37.591557,2
57,1,1.0,2518.8624902009983,1,3,12.1,66.8,2,0,7,93000000,142,1.0,55.750038,37.57846,3
58,1,,2096.846068722987,1,1,–,300,5,0,3,573627600,475,1.0,55.750788,37.58508,
59,1,1.0,3716.069853090493,1,1,–,1,9,0,0,1730000,194.2,1.0,55.722142,37.618569,5
60,0,,4079.27936420631,1,3,–,22.7,6,1,,4403057,22.7,1.0,55.775753,37.671938,1
61,0,,4079.27936420631,1,2,–,17.3,6,1,,4585315,17.3,1.0,55.775753,37.671938,1
